year,month,average
2345,5,1457.359412
2345,6,1451.194156
2345,7,1446.117762
2345,8,1445.359842
2345,9,1447.824603
2345,10,1452.781353
2345,11,1457.289917
2345,12,1459.903793
2346,1,1461.207519
2346,2,1461.491539
2346,3,1461.172501
2346,4,1460.132814
2346,5,1456.771853
2346,6,1450.607818
2346,7,1445.531598
2346,8,1444.772639
2346,9,1447.235929
2346,10,1452.1908
2346,11,1456.697284
2346,12,1459.309148
2347,1,1460.610963
2347,2,1460.893259
2347,3,1460.572733
2347,4,1459.531897
2347,5,1456.170394
2347,6,1450.006473
2347,7,1444.930387
2347,8,1444.171349
2347,9,1446.634956
2347,10,1451.590402
2347,11,1456.097751
2347,12,1458.710877
2348,1,1460.014214
2348,2,1460.298209
2348,3,1459.979445
2348,4,1458.940362
2348,5,1455.580711
2348,6,1449.418618
2348,7,1444.343553
2348,8,1443.584525
2348,9,1446.047861
2348,10,1451.002732
2348,11,1455.509363
2348,12,1458.12185
2349,1,1459.424611
2349,2,1459.708134
2349,3,1459.389006
2349,4,1458.349719
2349,5,1454.99025
2349,6,1448.828724
2349,7,1443.753942
2349,8,1442.994696
2349,9,1445.457953
2349,10,1450.412773
2349,11,1454.919442
2349,12,1457.532191
2350,1,1458.835329
2350,2,1459.119291
2350,3,1458.800578
2350,4,1457.76164
2350,5,1454.402588
2350,6,1448.241453
2350,7,1443.166281
2350,8,1442.405665
2350,9,1444.867311
2350,10,1449.820276
2350,11,1454.325018
2350,12,1456.93601
2351,1,1458.237559
2351,2,1458.520156
2351,3,1458.200323
2351,4,1457.160578
2351,5,1453.801272
2351,6,1447.640452
2351,7,1442.565514
2351,8,1441.804849
2351,9,1444.26679
2351,10,1449.220262
2351,11,1453.725774
2351,12,1456.33791
2352,1,1457.640857
2352,2,1457.925034
2352,3,1457.60686
2352,4,1456.568797
2352,5,1453.21131
2352,6,1447.05234
2352,7,1441.978508
2352,8,1441.217974
2352,9,1443.679782
2352,10,1448.632826
2352,11,1453.137762
2352,12,1455.749388
2353,1,1457.051865
2353,2,1457.335641
2353,3,1457.017131
2353,4,1455.978837
2353,5,1452.62144
2353,6,1446.46287
2353,7,1441.389076
2353,8,1440.628026
2353,9,1443.089425
2353,10,1448.042079
2353,11,1452.546727
2353,12,1455.158323
2354,1,1456.460942
2354,2,1456.745002
2354,3,1456.42685
2354,4,1455.388975
2354,5,1452.032208
2354,6,1445.874411
2354,7,1440.800799
2354,8,1440.039125
2354,9,1442.499798
2354,10,1447.451592
2354,11,1451.955389
2354,12,1454.566352
2355,1,1455.868528
2355,2,1456.152362
2355,3,1455.834193
2355,4,1454.796548
2355,5,1451.44047
2355,6,1445.283806
2355,7,1440.2111
2355,8,1439.449911
2355,9,1441.911285
2355,10,1446.86387
2355,11,1451.368603
2355,12,1453.980765
2356,1,1455.284286
2356,2,1455.569546
2356,3,1455.252785
2356,4,1454.216479
2356,5,1450.861791
2356,6,1444.706466
2356,7,1439.634282
2356,8,1438.872552
2356,9,1441.333028
2356,10,1446.284343
2356,11,1450.787593
2356,12,1453.398289
2357,1,1454.700347
2357,2,1454.984191
2357,3,1454.666073
2357,4,1453.628523
2357,5,1450.272932
2357,6,1444.11705
2357,7,1439.044
2357,8,1438.280931
2357,9,1440.740278
2357,10,1445.690598
2357,11,1450.19309
2357,12,1452.803429
2358,1,1454.105464
2358,2,1454.389604
2358,3,1454.07205
2358,4,1453.035331
2358,5,1449.681005
2358,6,1443.526768
2358,7,1438.45503
2358,8,1437.692725
2358,9,1440.152931
2358,10,1445.1041
2358,11,1449.607497
2358,12,1452.218934
2359,1,1453.522157
2359,2,1453.807527
2359,3,1453.491163
2359,4,1452.455557
2359,5,1449.102406
2359,6,1442.949315
2359,7,1437.877952
2359,8,1437.115007
2359,9,1439.574248
2359,10,1444.524108
2359,11,1449.026011
2359,12,1451.63599
2360,1,1452.93778
2360,2,1453.221781
2360,3,1452.90412
2360,4,1451.867344
2360,5,1448.513371
2360,6,1442.359811
2360,7,1437.287675
2360,8,1436.523494
2360,9,1438.98172
2360,10,1443.930703
2360,11,1448.43196
2360,12,1451.041684
2361,1,1452.343531
2361,2,1452.627878
2361,3,1452.310796
2361,4,1451.274819
2361,5,1447.922026
2361,6,1441.769965
2361,7,1436.698928
2361,8,1435.935224
2361,9,1438.393965
2361,10,1443.343422
2361,11,1447.845207
2361,12,1450.455677
2362,1,1451.758414
2362,2,1452.043776
2362,3,1451.727778
2362,4,1450.692949
2362,5,1447.341531
2362,6,1441.191012
2362,7,1436.120971
2362,8,1435.357501
2362,9,1437.816373
2362,10,1442.765786
2362,11,1447.267452
2362,12,1449.877895
2363,1,1451.180628
2363,2,1451.465992
2363,3,1451.149956
2363,4,1450.115046
2363,5,1446.763669
2363,6,1440.613262
2363,7,1435.542695
2363,8,1434.777848
2363,9,1437.235174
2363,10,1442.182848
2363,11,1446.682737
2363,12,1449.291587
2364,1,1450.592896
2364,2,1450.877044
2364,3,1450.560007
2364,4,1449.524361
2364,5,1446.172736
2364,6,1440.022569
2364,7,1434.952077
2364,8,1434.186981
2364,9,1436.644421
2364,10,1441.592453
2364,11,1446.092994
2364,12,1448.702903
2365,1,1450.005561
2365,2,1450.29128
2365,3,1449.975935
2365,4,1448.942048
2365,5,1445.592366
2365,6,1439.444221
2365,7,1434.375072
2365,8,1433.610376
2365,9,1436.067906
2365,10,1441.015682
2365,11,1445.515765
2365,12,1448.125229
2366,1,1449.427428
2366,2,1449.712709
2366,3,1449.396941
2366,4,1448.362693
2366,5,1445.012921
2366,6,1438.86495
2366,7,1433.795581
2366,8,1433.030105
2366,9,1435.486988
2366,10,1440.434174
2366,11,1444.933814
2366,12,1447.543135
2367,1,1448.845414
2367,2,1449.130968
2367,3,1448.815611
2367,4,1447.781894
2367,5,1444.432932
2367,6,1438.285985
2367,7,1433.217137
2367,8,1432.451457
2367,9,1434.908063
2367,10,1439.854837
2367,11,1444.354046
2367,12,1446.963097
2368,1,1448.265214
